1658424547420,60,58
1658424547720,103,58
1658424548027,60,57
1658424548324,60,64
1658424548609,63,57
1658424548902,61,65
1658424549187,61,64
1658424549473,73,56
1658424549767,60,56
1658424550075,124,56
1658424550364,62,57
1658424550653,60,57
1658424550955,60,56
1658424551244,60,57
1658424551550,60,57
1658424551861,60,57
1658424552173,52,56
1658424552487,74,56
1658424552783,59,56
1658424553082,108,56
1658424553386,60,56
1658424553689,111,56
1658424553989,68,56
1658424554290,60,56
1658424555206,111,56
1658424555506,60,56
1658424555801,96,56
1658424556106,61,56
1658424556407,60,56
1658424556703,85,56
1658424557000,94,56
1658424557305,63,56
1658424557601,113,56
1658424557904,61,56
1658424558224,60,56
1658424558517,97,56
1658424558817,60,56
1658424559114,60,56
1658424559407,60,56
1658424559701,60,56
1658424560016,60,56
1658424560328,95,56
1658424560630,61,56
1658424560928,66,56
1658424561232,60,56
1658424561520,60,56
1658424561835,60,56
1658424562143,63,56
1658424562441,110,56
1658424562738,60,56
1658424563026,60,89
1658424563331,62,71
1658424563635,62,102
1658424563947,61,72
1658424564259,61,68
1658424564540,46,92
1658424564849,54,68
1658424565148,60,68
1658424565440,112,68
1658424565745,60,68
1658424566035,60,68
1658424566324,60,70
1658424566623,88,68
1658424566906,88,57
1658424567212,76,57
1658424567515,99,85
1658424567816,68,57
1658424568116,62,57
1658424568409,62,57
1658424568707,106,56
1658424569009,60,70
1658424569308,60,116
1658424569592,61,116
1658424569888,60,87
1658424570192,60,79
1658424570487,60,68
1658424570781,45,68
1658424571095,45,68
1658424571389,46,68
1658424571694,90,64
1658424571978,60,56
1658424572276,110,56
1658424572574,111,56
1658424572860,61,57
1658424573161,63,80
1658424573453,111,80
1658424573736,73,115
1658424574024,61,68
1658424574315,60,68
1658424574596,68,68
1658424574893,111,69
1658424575200,61,113
1658424575492,60,69
1658424575814,60,68
1658424576109,60,68
1658424576408,60,68
1658424576715,61,115
1658424577014,45,105
1658424577315,101,69
1658424577613,111,68
1658424577918,61,73
1658424578219,61,68
1658424578499,60,69
1658424578789,94,71
1658424579084,63,70
1658424579395,62,70
1658424579668,112,111
1658424579964,64,69
1658424580252,61,114
1658424580533,60,68
1658424580837,61,84
1658424581133,128,69
1658424581441,61,68
1658424581740,60,68
1658424582030,60,68
1658424582339,60,70
1658424582657,64,68
1658424582943,111,68
1658424583243,61,57
1658424583527,111,57
1658424583825,63,87
1658424584107,63,79
1658424584400,64,70
1658424584690,62,68
1658424584963,62,116
1658424585268,60,116
1658424585564,60,68
1658424585878,60,68
1658424586171,60,56
1658424586481,60,56
1658424586783,60,68
1658424587077,60,107
1658424587391,99,68
1658424587693,121,68
1658424587999,113,68
1658424588290,66,68
1658424588580,102,64
1658424588878,60,56
1658424589177,60,56
1658424589470,63,87
1658424589772,62,57
1658424590062,61,86
1658424590366,62,70
1658424590659,64,73
1658424590951,64,70
1658424591244,137,78
1658424591538,99,128
1658424591844,61,114
1658424592133,61,71
1658424592422,109,68
1658424592728,61,116
1658424593038,61,68
1658424593347,111,71
1658424593636,67,103
1658424593937,85,114
1658424594238,61,69
1658424594538,111,68
1658424594834,61,68
1658424595118,61,68
1658424595427,61,69
1658424595737,61,56
1658424596021,111,87
1658424596314,61,68
1658424596611,61,69
1658424596917,61,103
1658424597215,61,111
1658424597513,114,69
1658424597802,63,70
1658424598094,114,70
1658424598383,113,119
1658424598694,114,71
1658424598986,62,71
1658424599299,62,57
1658424599599,114,57
1658424599886,63,57
1658424600170,61,56
1658424600460,62,56
1658424600755,62,59
1658424601056,110,84
1658424601340,61,68
1658424601640,61,69
1658424601920,69,75
1658424602227,64,114
1658424602513,145,105
1658424602807,102,71
1658424603106,111,71
1658424603390,72,116
1658424603687,61,69
1658424603985,61,69
1658424604299,61,69
1658424604599,61,71
1658424604890,63,69
1658424605198,62,74
1658424605503,61,64
1658424605804,61,68
1658424606119,76,68
1658424606413,61,77
1658424606713,61,129
1658424607013,61,117
1658424607334,61,71
1658424607633,112,57
1658424607915,88,56
1658424608224,98,56
1658424608517,62,94
1658424608826,61,75
1658424609135,61,69
1658424609452,61,71
1658424609737,61,71
1658424610048,46,71
1658424610337,45,71
1658424610644,76,68
1658424610927,72,56
1658424611215,61,56
1658424611522,110,56
1658424611823,61,82
1658424612125,122,68
1658424612422,61,79
1658424612725,110,68
1658424613003,61,98
1658424613295,61,118
1658424613590,113,95
1658424613890,116,70
1658424614180,62,122
1658424614477,62,81
1658424614760,61,71
1658424615051,61,68
1658424615345,61,68
1658424615635,61,68
1658424615930,46,86
1658424616240,46,56
1658424616539,46,56
1658424616836,45,56
1658424617133,45,57
1658424617447,45,56
1658424617748,45,56
1658424618047,45,59
1658424618352,46,78
1658424618649,46,88
1658424618930,46,103
1658424619227,45,69
1658424619523,47,70
1658424619823,47,94
1658424620118,47,70
1658424620428,73,70
1658424620743,62,57
1658424621029,64,57
1658424621318,64,57
1658424621615,62,76
1658424621927,60,76
1658424622242,91,71
1658424622537,78,71
1658424622845,69,71
1658424623141,101,111
1658424623431,109,71
1658424623714,108,106
1658424624005,61,68
1658424624297,111,68
1658424624607,61,68
1658424624889,60,68
1658424625189,61,63
1658424625487,107,56
1658424625785,61,86
1658424626093,100,108
1658424626388,61,68
1658424626694,112,97
1658424627002,61,116
1658424627282,61,68
1658424627559,63,117
1658424627856,62,71
1658424628157,62,71
1658424628457,62,70
1658424628802,65,116
1658424629111,62,87
1658424629404,62,117
1658424629698,62,68
1658424629977,64,70
1658424630285,62,71
1658424630567,63,134
1658424630863,83,71
1658424631145,67,71
1658424631431,112,68
1658424631722,63,68
1658424632031,62,68
1658424632332,63,116
